Shape_ID;Top_Rad;Bottom_Rad;Angle;Edges;Height;Bevel_Offset;Bevel_Height;Bevel_Weight;T1;T2;T3;T4;T5;Average_Cd;Outcome
Shape_4467;45;27;239;38;196;2;1;-1;0.24;0.25;0.23;0.26;0.26;0.24;Optimal
Shape_4468;47;79;311;52;73;-2;11;0;0.21;0.21;0.2;0.21;0.23;0.22;Optimal
Shape_4470;58;18;212;20;90;-4;13;3;0.26;0.23;0.25;0.24;0.23;0.24;Optimal
Shape_4472;71;109;355;18;21;5;7;3;0.17;0.2;0.2;0.2;0.21;0.19;Optimal
Shape_4474;3;63;303;5;103;0;0;0;0.25;0.24;0.25;0.26;0.27;0.25;Optimal
Shape_4491;173;13;352;30;76;1;9;2;0.21;0.2;0.23;0.23;0.2;0.22;Optimal
Shape_4494;21;40;319;9;54;-2;19;-1;0.19;0.18;0.22;0.2;0.22;0.2;Optimal
Shape_4496;94;79;257;57;44;4;6;1;0.24;0.27;0.24;0.26;0.25;0.25;Optimal
Shape_4499;11;153;248;39;30;4;4;-2;0.25;0.23;0.24;0.23;0.23;0.24;Optimal
Shape_4501;23;81;350;56;269;0;0;0;0.21;0.21;0.23;0.21;0.23;0.22;Optimal
Shape_4502;67;8;289;36;125;7;12;-2;0.18;0.18;0.18;0.2;0.17;0.19;Optimal
Shape_4503;23;19;348;30;25;-2;7;0;0.14;0.16;0.15;0.15;0.15;0.15;Optimal
Shape_4509;33;169;358;53;117;-4;13;2;0.21;0.2;0.2;0.22;0.22;0.2;Optimal
Shape_4510;107;4;298;40;99;6;10;0;0.22;0.23;0.22;0.25;0.23;0.23;Optimal
Shape_4524;29;14;326;44;62;6;11;0;0.16;0.17;0.14;0.16;0.17;0.16;Optimal
Shape_4529;8;25;359;57;283;5;6;-1;0.14;0.12;0.14;0.13;0.14;0.14;Optimal
Shape_4535;71;9;314;55;264;0;0;0;0.23;0.25;0.25;0.23;0.24;0.23;Optimal
Shape_4540;83;4;274;61;105;4;4;3;0.15;0.14;0.13;0.15;0.15;0.15;Optimal
Shape_4542;89;77;350;61;153;0;0;0;0.23;0.22;0.23;0.24;0.23;0.23;Optimal
Shape_4546;172;18;346;20;184;2;3;-2;0.25;0.24;0.24;0.25;0.27;0.25;Optimal
Shape_4548;15;28;282;46;147;0;0;0;0.2;0.22;0.23;0.2;0.21;0.21;Optimal
Shape_4561;140;3;335;60;222;2;3;0;0.22;0.22;0.21;0.2;0.22;0.22;Optimal
